"";"Price";"Year";"Make";"Model";"Mileage";"Engine";"AutoTraderPage"
"127";698500;2013;"BMW";"X6";37000;4;12
"128";250000;2009;"BMW";"3";86823;NA;12
"129";559000;2015;"BMW";"4";14000;2;12
"130";109500;2005;"BMW";"3";134400;2;12
"131";289900;2011;"BMW";"5";88350;2;12
"132";359900;2015;"BMW";"3";1100;1,6;12
"133";369900;2010;"BMW";"X5";88000;3;13
"134";479000;2015;"BMW";"2";14000;2;13
"135";1350000;2015;"BMW";"M4";2800;NA;13
"136";149995;2011;"BMW";"3";145000;NA;13
"137";399900;2015;"BMW";"2";1500;2;13
"138";119995;2010;"BMW";"3";84800;2;13
"139";629900;2011;"BMW";"M3";44000;4;13
"140";499900;2015;"BMW";"1";6000;3;13
"141";429000;2015;"BMW";"3";2354;2;13
"142";159900;2008;"BMW";"3";109000;NA;13
"143";399900;2010;"BMW";"X6";82000;5;13
"144";369900;2010;"BMW";"X5";88000;3;14
"145";409900;2013;"BMW";"1";19000;3;14
"146";389000;2014;"BMW";"X1";12000;2;14
"147";219900;2008;"BMW";"X5";169000;3;14
"148";399900;2015;"BMW";"1";2000;2,5;14
"149";649000;2015;"BMW";"X3";5000;2;14
"150";1139950;2013;"BMW";"M6";14000;4,4;14
"151";169900;2010;"BMW";"1";95000;2;14
"152";139999;2010;"BMW";"3";139000;2;14
"153";469000;2015;"BMW";"3";3000;2;14
"154";389000;2014;"BMW";"3";24000;2;14
"155";369900;2010;"BMW";"X5";88000;3;15
"156";299900;2015;"BMW";"1";2000;1,6;15
"157";559000;2015;"BMW";"3";15000;3;15
"158";299000;2012;"BMW";"3";47000;2;15
"159";359000;2015;"BMW";"3";14000;2;15
"160";1e+05;2008;"BMW";"3";130000;NA;15
"161";969000;2015;"BMW";"X5";6000;3;15
"162";389000;2014;"BMW";"3";24000;2;15
"163";299900;2012;"BMW";"3";68000;2;15
"164";1240000;2015;"BMW";"M4";5500;6;15
"165";579900;2013;"BMW";"X3";18000;3;15
"166";369900;2010;"BMW";"X5";88000;3;16
"167";199800;2010;"BMW";"1";NA;1,2;16
"168";449900;2014;"BMW";"3";22000;2;16
"169";249000;2011;"BMW";"X1";71000;2;16
"170";469995;2015;"BMW";"3";150;2;16
"171";299800;2008;"BMW";"X5";121907;3,5;16
"172";429900;2014;"BMW";"3";14892;2;16
"173";375900;2014;"BMW";"1";25939;2;16
"174";239995;2011;"BMW";"X1";1e+05;2;16
"175";120000;1999;"BMW";"Z3";93500;2,8;16
"176";638500;2015;"BMW";"X3";8000;2;16
"177";369900;2010;"BMW";"X5";88000;3;17
"178";189900;2008;"BMW";"3";62000;2;17
"179";1309900;2015;"BMW";"X6";2797;3;17
"180";279900;2014;"BMW";"1";15000;1,6;17
"181";389000;2012;"BMW";"3";42000;3;17
"182";199999;2010;"BMW";"1";58000;2;17
"183";239900;2011;"BMW";"X1";84500;NA;17
"184";269900;2012;"BMW";"1";108500;NA;17
"185";519900;2012;"BMW";"X5";31000;3;17
"186";279900;2010;"BMW";"5";62000;2,5;17
"187";559900;2010;"BMW";"M3";59000;4;17
"188";369900;2010;"BMW";"X5";88000;3;18
"189";439000;2013;"BMW";"X3";64000;2;18
"190";299000;2013;"BMW";"3";61000;2;18
"191";1113500;2015;"BMW";"X5";5000;3;18
"192";694200;2015;"BMW";"X3";5000;2;18
"193";639000;2014;"BMW";"4";18000;3;18
"194";432400;2015;"BMW";"1";5000;1,8;18
"195";289900;2014;"BMW";"1";48965;1,8;18
"196";410000;2011;"BMW";"X5";78263;3;18
"197";423000;2015;"BMW";"3";1004;NA;18
"198";774000;2015;"BMW";"X3";1004;NA;18
"199";369900;2010;"BMW";"X5";88000;3;19
"200";249000;2013;"BMW";"1";40010;NA;19
"201";159950;2011;"BMW";"1";103000;NA;19
"202";1179000;2014;"BMW";"X6";12000;4,4;19
"203";439000;2013;"BMW";"3";21000;3;19
"204";199950;2009;"BMW";"X3";74500;2;19
"205";429000;2015;"BMW";"3";3000;2;19
"206";99999;2010;"BMW";"3";17500;2,3;19
"207";209000;2011;"BMW";"3";72000;2;19
"208";229000;2008;"BMW";"7";106000;5;19
"209";699000;2015;"BMW";"X4";7000;2;19
"210";369900;2010;"BMW";"X5";88000;3;20
"211";579000;2015;"BMW";"5";13000;2;20
"212";539000;2015;"BMW";"4";4000;2;20
"213";529000;2014;"BMW";"5";14000;2;20
"214";409950;2015;"BMW";"3";NA;2;20
"215";469000;2015;"BMW";"3";6000;2;20
"216";399950;2015;"BMW";"3";NA;2;20
"217";229900;2010;"BMW";"3";97000;2,5;20
"218";449000;2015;"BMW";"2";5500;2;20
"219";469000;2015;"BMW";"3";3000;2;20
"220";699900;2013;"BMW";"X5";53922;3;20
"221";369900;2010;"BMW";"X5";88000;3;21
"222";229950;2005;"BMW";"M5";57000;5;21
"223";209900;2008;"BMW";"1";91000;3;21
"224";499950;2010;"BMW";"X6";65983;5;21
"225";399000;2015;"BMW";"3";NA;2;21
"226";79990;2005;"BMW";"3";162000;1,9;21
"227";369000;2009;"BMW";"M3";106000;NA;21
"228";129900;2010;"BMW";"1";NA;1,6;21
"229";259900;2009;"BMW";"3";130000;3;21
"230";299900;2012;"BMW";"3";68000;2;21
"231";279900;2013;"BMW";"3";59000;2;21
"232";369900;2010;"BMW";"X5";88000;3;22
"233";148900;2010;"BMW";"3";85000;2;22
"234";965000;2015;"BMW";"X5";5000;3;22
"235";469950;2015;"BMW";"1";NA;1,6;22
"236";369900;2013;"BMW";"3";31240;NA;22
"237";189900;2009;"BMW";"3";120500;2;22
"238";244900;2012;"BMW";"1";NA;1,8;22
"239";389950;2009;"BMW";"M3";84000;4;22
"240";379900;2011;"BMW";"X3";59580;2;22
"241";309900;2012;"BMW";"1";18875;3;22
"242";169900;2011;"BMW";"3";102530;2;22
"243";369900;2010;"BMW";"X5";88000;3;23
"244";199000;2011;"BMW";"X1";57500;2;23
"245";429900;2013;"BMW";"X3";80402;3;23
"246";89900;2007;"BMW";"3";131428;2;23
"247";699900;2012;"BMW";"M3";24000;5;23
"248";359000;2010;"BMW";"X5";79500;NA;23
"249";89900;2007;"BMW";"3";131428;2;23
"250";NA;2008;"BMW";"3";160633;2;23
"251";110000;2007;"BMW";"1";187000;2;23
"252";74990;2005;"BMW";"5";244000;2,5;23
"253";139900;2009;"BMW";"3";83000;2;23
"254";369900;2010;"BMW";"X5";88000;3;24
"255";169900;2008;"BMW";"1";112381;2;24
"256";95000;2004;"BMW";"5";243680;NA;24
"257";299000;2011;"BMW";"5";95492;2;24
"258";279900;2012;"BMW";"3";90000;2;24
"259";250000;2012;"BMW";"3";83500;2;24
"260";379000;2013;"BMW";"X1";38940;NA;24
"261";819000;2012;"BMW";"5";22500;NA;24
"262";389000;2015;"BMW";"3";2569;NA;24
"263";328969;2015;"BMW";"1";2569;NA;24
"264";539000;2015;"BMW";"3";2546;NA;24
"265";369900;2010;"BMW";"X5";88000;3;25
"266";609000;2015;"BMW";"3";2359;NA;25
"267";64900;2002;"BMW";"3";154611;NA;25
"268";120000;2007;"BMW";"3";95000;NA;25
"269";767200;2015;"BMW";"5";5000;2;25
"270";519000;2015;"BMW";"3";5000;2;25
"271";518700;2015;"BMW";"3";5000;2;25
"272";512800;2015;"BMW";"3";5000;2;25
"273";514000;2015;"BMW";"3";5000;2;25
"274";553400;2015;"BMW";"3";5000;2;25
"275";435200;2015;"BMW";"1";5000;2;25
"276";369900;2010;"BMW";"X5";88000;3;26
"277";259000;2012;"BMW";"1";52511;2;26
"278";349000;2009;"BMW";"X5";106849;3;26
"279";355495;2012;"BMW";"X3";62634;2;26
"280";429900;2010;"BMW";"5";64302;3;26
"281";189900;2010;"BMW";"X1";97721;2;26
"282";499990;2011;"BMW";"7";75000;7,5;26
"283";129900;2006;"BMW";"3";151000;3;26
"284";289900;2013;"BMW";"3";89000;2;26
"285";189900;2011;"BMW";"X1";98000;NA;26
"286";129900;2010;"BMW";"3";160000;2;26
"287";369900;2010;"BMW";"X5";88000;3;27
"288";289900;2010;"BMW";"3";98000;3;27
"289";115000;2005;"BMW";"X3";195000;NA;27
"290";134950;2010;"BMW";"5";147000;2,3;27
"291";99950;2006;"BMW";"1";156000;1,8;27
"292";299000;2012;"BMW";"3";30827;NA;27
"293";329900;2012;"BMW";"3";67000;NA;27
"294";949900;2014;"BMW";"X5";21000;NA;27
"295";609900;2011;"BMW";"6";21000;NA;27
"296";399990;2015;"BMW";"3";1000;NA;27
"297";360000;2015;"BMW";"1";1000;NA;27
"298";369900;2010;"BMW";"X5";88000;3;28
"299";99900;2005;"BMW";"3";143000;2;28
"300";99900;2001;"BMW";"X5";185000;3;28
"301";289900;2011;"BMW";"1";94000;NA;28
"302";99900;2005;"BMW";"5";175000;3;28
"303";359900;2011;"BMW";"5";69000;3;28
"304";119900;2008;"BMW";"3";NA;2;28
"305";779900;2012;"BMW";"M5";49500;4,4;28
"306";149500;2003;"BMW";"Z4";136930;3;28
"307";459900;2014;"BMW";"2";13000;NA;28
"308";179900;2008;"BMW";"X3";121700;NA;28
"309";369900;2010;"BMW";"X5";88000;3;29
"310";104995;2007;"BMW";"1";92000;2;29
"311";174500;2011;"BMW";"3";93200;2;29
"312";169000;2009;"BMW";"3";61880;2;29
"313";349900;2012;"BMW";"X3";57000;2;29
"314";89900;2005;"BMW";"1";206269;2;29
"315";89900;2005;"BMW";"1";206269;2;29
"316";85000;2001;"BMW";"5";179535;NA;29
"317";149900;2010;"BMW";"3";99800;2;29
"318";124900;2010;"BMW";"1";49000;1,6;29
"319";259900;2010;"BMW";"3";62000;3;29
"320";369900;2010;"BMW";"X5";88000;3;30
